"concept_id","concept_code","vocabulary_id","codeset","concept_name"
35606559,"1743864","dopamine hydrochloride 3.2 MG/ML Injection","pressors","dopamine hydrochloride 3.2 MG/ML Injection"
35606560,"1743866","dopamine hydrochloride 160 MG/ML Injection","pressors","dopamine hydrochloride 160 MG/ML Injection"
35606561,"1743869","250 ML dopamine hydrochloride 0.8 MG/ML Injection","pressors","250 ML dopamine hydrochloride 0.8 MG/ML Injection"
35606562,"1743870","dopamine hydrochloride 0.8 MG/ML Injection","pressors","dopamine hydrochloride 0.8 MG/ML Injection"
35606563,"1743871","500 ML dopamine hydrochloride 0.8 MG/ML Injection","pressors","500 ML dopamine hydrochloride 0.8 MG/ML Injection"
35606564,"1743877","250 ML dopamine hydrochloride 1.6 MG/ML Injection","pressors","250 ML dopamine hydrochloride 1.6 MG/ML Injection"
35606565,"1743878","dopamine hydrochloride 1.6 MG/ML Injection","pressors","dopamine hydrochloride 1.6 MG/ML Injection"
35606566,"1743879","500 ML dopamine hydrochloride 1.6 MG/ML Injection","pressors","500 ML dopamine hydrochloride 1.6 MG/ML Injection"
35606567,"1743938","10 ML dopamine hydrochloride 40 MG/ML Injection","pressors","10 ML dopamine hydrochloride 40 MG/ML Injection"
35606568,"1743939","dopamine hydrochloride 40 MG/ML Injection","pressors","dopamine hydrochloride 40 MG/ML Injection"
35606569,"1743941","5 ML dopamine hydrochloride 40 MG/ML Injection","pressors","5 ML dopamine hydrochloride 40 MG/ML Injection"
35606570,"1743950","10 ML dopamine hydrochloride 80 MG/ML Injection","pressors","10 ML dopamine hydrochloride 80 MG/ML Injection"
35606571,"1743951","dopamine hydrochloride 80 MG/ML Injection","pressors","dopamine hydrochloride 80 MG/ML Injection"
35606572,"1743953","5 ML dopamine hydrochloride 80 MG/ML Injection","pressors","5 ML dopamine hydrochloride 80 MG/ML Injection"
35746250,"OMOP2747711","Milrinone 1 MG/ML Injectable Solution [Primacor] Box of 10","pressors","Milrinone 1 MG/ML Injectable Solution [Primacor] Box of 10"
35749849,"OMOP2751310","Dobutamine 50 MG/ML Injectable Solution Box of 5","pressors","Dobutamine 50 MG/ML Injectable Solution Box of 5"
35749850,"OMOP2751311","Dobutamine 5 MG/ML Injectable Solution Box of 1","pressors","Dobutamine 5 MG/ML Injectable Solution Box of 1"
35749893,"OMOP2751354","Milrinone 1 MG/ML Injectable Solution Box of 1","pressors","Milrinone 1 MG/ML Injectable Solution Box of 1"
35754525,"OMOP2755986","Dobutamine 50 MG/ML Injectable Solution [Posiject] Box of 5","pressors","Dobutamine 50 MG/ML Injectable Solution [Posiject] Box of 5"
35758081,"OMOP2759542","Dopamine 40 MG/ML Injectable Solution Box of 1","pressors","Dopamine 40 MG/ML Injectable Solution Box of 1"
35758640,"OMOP2760101","Dobutamine 50 MG/ML Injectable Solution [Posiject]","pressors","Dobutamine 50 MG/ML Injectable Solution [Posiject]"
35758740,"OMOP2760201","Milrinone 1 MG/ML Injectable Solution [Primacor]","pressors","Milrinone 1 MG/ML Injectable Solution [Primacor]"
35766353,"OMOP2767814","Dopamine 3.2 MG/ML Injectable Solution Box of 1","pressors","Dopamine 3.2 MG/ML Injectable Solution Box of 1"
35770531,"OMOP2771992","Dobutamine Injectable Solution [Posiject]","pressors","Dobutamine Injectable Solution [Posiject]"
35770798,"OMOP2772259","Dobutamine 12.5 MG/ML Injectable Suspension Box of 5","pressors","Dobutamine 12.5 MG/ML Injectable Suspension Box of 5"
35774820,"OMOP2776281","Milrinone Injectable Solution [Primacor]","pressors","Milrinone Injectable Solution [Primacor]"
35780077,"OMOP2781538","5 ML Dopamine 40 MG/ML Injectable Solution Box of 50 by Alliance","pressors","5 ML Dopamine 40 MG/ML Injectable Solution Box of 50 by Alliance"
35780078,"OMOP2781539","5 ML Dopamine 40 MG/ML Injectable Solution Box of 5 by Alliance","pressors","5 ML Dopamine 40 MG/ML Injectable Solution Box of 5 by Alliance"
35780135,"OMOP2781596","5 ML Dobutamine 50 MG/ML Injectable Solution [Posiject] by Boehringer Ingelheim","pressors","5 ML Dobutamine 50 MG/ML Injectable Solution [Posiject] by Boehringer Ingelheim"
35780190,"OMOP2781651","5 ML Dobutamine 50 MG/ML Injectable Solution Box of 5","pressors","5 ML Dobutamine 50 MG/ML Injectable Solution Box of 5"
35780235,"OMOP2781696","5 ML Dopamine 40 MG/ML Injectable Solution Box of 50 by Hospira","pressors","5 ML Dopamine 40 MG/ML Injectable Solution Box of 50 by Hospira"
35780236,"OMOP2781697","5 ML Dopamine 40 MG/ML Injectable Solution Box of 10 by Martindale","pressors","5 ML Dopamine 40 MG/ML Injectable Solution Box of 10 by Martindale"
35780237,"OMOP2781698","5 ML Dopamine 40 MG/ML Injectable Solution Box of 5 by Hospira","pressors","5 ML Dopamine 40 MG/ML Injectable Solution Box of 5 by Hospira"
35780351,"OMOP2781812","5 ML Dopamine 40 MG/ML Injectable Solution Box of 1","pressors","5 ML Dopamine 40 MG/ML Injectable Solution Box of 1"
35780415,"OMOP2781876","5 ML Dopamine 40 MG/ML Injectable Solution Box of 10 by A A H","pressors","5 ML Dopamine 40 MG/ML Injectable Solution Box of 10 by A A H"
35780416,"OMOP2781877","5 ML Dopamine 40 MG/ML Injectable Solution by A A H","pressors","5 ML Dopamine 40 MG/ML Injectable Solution by A A H"
35780417,"OMOP2781878","5 ML Dopamine 40 MG/ML Injectable Solution by AMCo","pressors","5 ML Dopamine 40 MG/ML Injectable Solution by AMCo"
35780582,"OMOP2782043","5 ML Dopamine 40 MG/ML Injectable Solution Box of 5 by A A H","pressors","5 ML Dopamine 40 MG/ML Injectable Solution Box of 5 by A A H"
35780583,"OMOP2782044","5 ML Dopamine 40 MG/ML Injectable Solution by Martindale","pressors","5 ML Dopamine 40 MG/ML Injectable Solution by Martindale"
35780767,"OMOP2782228","5 ML Dopamine 40 MG/ML Injectable Solution Box of 10 by AMCo","pressors","5 ML Dopamine 40 MG/ML Injectable Solution Box of 10 by AMCo"
35780768,"OMOP2782229","5 ML Dopamine 40 MG/ML Injectable Solution by Alliance","pressors","5 ML Dopamine 40 MG/ML Injectable Solution by Alliance"
35780769,"OMOP2782230","5 ML Dopamine 40 MG/ML Injectable Solution Box of 1 by UCB","pressors","5 ML Dopamine 40 MG/ML Injectable Solution Box of 1 by UCB"
35780770,"OMOP2782231","5 ML Dopamine 40 MG/ML Injectable Solution by UCB","pressors","5 ML Dopamine 40 MG/ML Injectable Solution by UCB"
35780906,"OMOP2782367","5 ML Dobutamine 50 MG/ML Injectable Solution [Posiject]","pressors","5 ML Dobutamine 50 MG/ML Injectable Solution [Posiject]"
35781054,"OMOP2782515","5 ML Dobutamine 50 MG/ML Injectable Solution","pressors","5 ML Dobutamine 50 MG/ML Injectable Solution"
35781073,"OMOP2782534","5 ML Dobutamine 50 MG/ML Injectable Solution [Posiject] Box of 5","pressors","5 ML Dobutamine 50 MG/ML Injectable Solution [Posiject] Box of 5"
35781092,"OMOP2782553","5 ML Dopamine 40 MG/ML Injectable Solution by Hospira","pressors","5 ML Dopamine 40 MG/ML Injectable Solution by Hospira"
35781161,"OMOP2782622","5 ML Dobutamine 50 MG/ML Injectable Solution [Posiject] Box of 5 by Boehringer Ingelheim","pressors","5 ML Dobutamine 50 MG/ML Injectable Solution [Posiject] Box of 5 by Boehringer Ingelheim"
35781607,"OMOP2783068","10 ML Milrinone 1 MG/ML Injectable Solution [Primacor] Box of 10 by Sanofi","pressors","10 ML Milrinone 1 MG/ML Injectable Solution [Primacor] Box of 10 by Sanofi"
35781763,"OMOP2783224","10 ML Milrinone 1 MG/ML Injectable Solution [Primacor] by Sanofi","pressors","10 ML Milrinone 1 MG/ML Injectable Solution [Primacor] by Sanofi"
35781931,"OMOP2783392","10 ML Dopamine 40 MG/ML Injectable Solution Box of 1","pressors","10 ML Dopamine 40 MG/ML Injectable Solution Box of 1"
35781932,"OMOP2783393","10 ML Dopamine 40 MG/ML Injectable Solution","pressors","10 ML Dopamine 40 MG/ML Injectable Solution"
35781970,"OMOP2783431","10 ML Milrinone 1 MG/ML Injectable Solution [Primacor]","pressors","10 ML Milrinone 1 MG/ML Injectable Solution [Primacor]"
35782117,"OMOP2783578","10 ML Milrinone 1 MG/ML Injectable Solution [Primacor] Box of 10","pressors","10 ML Milrinone 1 MG/ML Injectable Solution [Primacor] Box of 10"
35782141,"OMOP2783602","10 ML Dopamine 40 MG/ML Injectable Solution Box of 1 by UCB","pressors","10 ML Dopamine 40 MG/ML Injectable Solution Box of 1 by UCB"
35782601,"OMOP2784062","10 ML Dopamine 40 MG/ML Injectable Solution by UCB","pressors","10 ML Dopamine 40 MG/ML Injectable Solution by UCB"
35782890,"OMOP2784351","20 ML Dobutamine 12.5 MG/ML Injectable Suspension Box of 5","pressors","20 ML Dobutamine 12.5 MG/ML Injectable Suspension Box of 5"
35782935,"OMOP2784396","20 ML Dobutamine 12.5 MG/ML Injectable Suspension Box of 5 by Wockhardt","pressors","20 ML Dobutamine 12.5 MG/ML Injectable Suspension Box of 5 by Wockhardt"
35782991,"OMOP2784452","20 ML Dobutamine 12.5 MG/ML Injectable Suspension Box of 5 by Hameln","pressors","20 ML Dobutamine 12.5 MG/ML Injectable Suspension Box of 5 by Hameln"
35783056,"OMOP2784517","20 ML Dobutamine 12.5 MG/ML Injectable Suspension by Hameln","pressors","20 ML Dobutamine 12.5 MG/ML Injectable Suspension by Hameln"
35783121,"OMOP2784582","20 ML Dobutamine 12.5 MG/ML Injectable Suspension by A A H","pressors","20 ML Dobutamine 12.5 MG/ML Injectable Suspension by A A H"
35783182,"OMOP2784643","20 ML Dobutamine 12.5 MG/ML Injectable Suspension Box of 5 by A A H","pressors","20 ML Dobutamine 12.5 MG/ML Injectable Suspension Box of 5 by A A H"
35783183,"OMOP2784644","20 ML Dobutamine 12.5 MG/ML Injectable Suspension by Wockhardt","pressors","20 ML Dobutamine 12.5 MG/ML Injectable Suspension by Wockhardt"
35783321,"OMOP2784782","20 ML Dobutamine 12.5 MG/ML Injectable Suspension [Dobutrex] by Lilly","pressors","20 ML Dobutamine 12.5 MG/ML Injectable Suspension [Dobutrex] by Lilly"
35783916,"OMOP2785377","50 ML Dobutamine 5 MG/ML Injectable Solution by Hameln","pressors","50 ML Dobutamine 5 MG/ML Injectable Solution by Hameln"
35783954,"OMOP2785415","50 ML Dobutamine 5 MG/ML Injectable Solution Box of 1","pressors","50 ML Dobutamine 5 MG/ML Injectable Solution Box of 1"
35784082,"OMOP2785543","50 ML Milrinone 1 MG/ML Injectable Solution Box of 1","pressors","50 ML Milrinone 1 MG/ML Injectable Solution Box of 1"
35784320,"OMOP2785781","50 ML Milrinone 1 MG/ML Injectable Solution","pressors","50 ML Milrinone 1 MG/ML Injectable Solution"
35784393,"OMOP2785854","50 ML Dobutamine 5 MG/ML Injectable Solution Box of 1 by Hameln","pressors","50 ML Dobutamine 5 MG/ML Injectable Solution Box of 1 by Hameln"
35788769,"OMOP2790230","250 ML Dopamine 3.2 MG/ML Injectable Solution Box of 1 by Abbott","pressors","250 ML Dopamine 3.2 MG/ML Injectable Solution Box of 1 by Abbott"
35788806,"OMOP2790267","250 ML Dopamine 3.2 MG/ML Injectable Solution Box of 1","pressors","250 ML Dopamine 3.2 MG/ML Injectable Solution Box of 1"
35788843,"OMOP2790304","250 ML Dopamine 3.2 MG/ML Injectable Solution by Abbott","pressors","250 ML Dopamine 3.2 MG/ML Injectable Solution by Abbott"
35828318,"OMOP5039926","200 ML dobutamine 3 MG/ML Injectable Solution [Dobutrex]","pressors","200 ML dobutamine 3 MG/ML Injectable Solution [Dobutrex]"
35828319,"OMOP5039925","200 ML dobutamine 1 MG/ML Injectable Solution [Dobutrex]","pressors","200 ML dobutamine 1 MG/ML Injectable Solution [Dobutrex]"
35829435,"OMOP5039618","5 ML dopamine 20 MG/ML Injectable Solution by Koa Isei","pressors","5 ML dopamine 20 MG/ML Injectable Solution by Koa Isei"
35831108,"OMOP5037208","dobutamine 100 MG Injectable Solution [Dobutrex]","pressors","dobutamine 100 MG Injectable Solution [Dobutrex]"
35831109,"OMOP5037207","dobutamine 100 MG Injectable Solution by Sawai","pressors","dobutamine 100 MG Injectable Solution by Sawai"
35831110,"OMOP5037206","dobutamine 100 MG [Dobutrex]","pressors","dobutamine 100 MG [Dobutrex]"
35831111,"OMOP5037205","dobutamine 3 MG/ML Injectable Solution [Dobutrex]","pressors","dobutamine 3 MG/ML Injectable Solution [Dobutrex]"
35831112,"OMOP5037204","dobutamine 3 MG/ML [Dobutrex]","pressors","dobutamine 3 MG/ML [Dobutrex]"
35831113,"OMOP5037203","dobutamine 1 MG/ML Injectable Solution [Dobutrex]","pressors","dobutamine 1 MG/ML Injectable Solution [Dobutrex]"
35831114,"OMOP5037202","dobutamine 1 MG/ML [Dobutrex]","pressors","dobutamine 1 MG/ML [Dobutrex]"
35865882,"OMOP5022743","milrinone 1 MG/ML Injectable Solution [Lunanlikang]","pressors","milrinone 1 MG/ML Injectable Solution [Lunanlikang]"
35865883,"OMOP5022744","milrinone 1 MG/ML [Lunanlikang]","pressors","milrinone 1 MG/ML [Lunanlikang]"
35865884,"OMOP5022745","milrinone Inhalation Powder","pressors","milrinone Inhalation Powder"
35865885,"OMOP5022746","milrinone Injectable Solution [Lunanlikang]","pressors","milrinone Injectable Solution [Lunanlikang]"
35866678,"OMOP5024306","dobutamine 250 MG [Anchang]","pressors","dobutamine 250 MG [Anchang]"
35866679,"OMOP5024307","dobutamine 2 MG/ML Injection [Fenghaifen]","pressors","dobutamine 2 MG/ML Injection [Fenghaifen]"
35867371,"OMOP5024293","dopamine 20 MG Injectable Solution","pressors","dopamine 20 MG Injectable Solution"
35867372,"OMOP5024294","dopamine 20 MG","pressors","dopamine 20 MG"
35867373,"OMOP5024295","dopamine 20 MG [Asikeding]","pressors","dopamine 20 MG [Asikeding]"
35867374,"OMOP5024296","dopamine 10 MG Injectable Solution","pressors","dopamine 10 MG Injectable Solution"
35867375,"OMOP5024297","dopamine 10 MG","pressors","dopamine 10 MG"
35867376,"OMOP5024298","dopamine 10 MG [Asikeding]","pressors","dopamine 10 MG [Asikeding]"
35867377,"OMOP5024299","dopamine 5 MG Injectable Solution","pressors","dopamine 5 MG Injectable Solution"
35867378,"OMOP5024300","dopamine 5 MG","pressors","dopamine 5 MG"
35867379,"OMOP5024301","dopamine 5 MG [Asikeding]","pressors","dopamine 5 MG [Asikeding]"
35867380,"OMOP5024302","dopamine Injectable Solution [Asikeding]","pressors","dopamine Injectable Solution [Asikeding]"
35867381,"OMOP5024303","dobutamine 250 MG Injectable Solution [Aowanyuan]","pressors","dobutamine 250 MG Injectable Solution [Aowanyuan]"
35867382,"OMOP5024304","dobutamine 250 MG Injectable Solution [Anchang]","pressors","dobutamine 250 MG Injectable Solution [Anchang]"
35867383,"OMOP5024305","dobutamine 250 MG [Aowanyuan]","pressors","dobutamine 250 MG [Aowanyuan]"
35867777,"OMOP5024308","dobutamine 2 MG/ML Injectable Solution","pressors","dobutamine 2 MG/ML Injectable Solution"
35867778,"OMOP5024309","dobutamine 2 MG/ML Injectable Solution [Fenghaifen]","pressors","dobutamine 2 MG/ML Injectable Solution [Fenghaifen]"
35867779,"OMOP5024310","dobutamine 2 MG/ML [Fenghaifen]","pressors","dobutamine 2 MG/ML [Fenghaifen]"
35867780,"OMOP5024311","dobutamine 1 MG/ML Injectable Solution [Fenghaifen]","pressors","dobutamine 1 MG/ML Injectable Solution [Fenghaifen]"
35867781,"OMOP5024312","dobutamine 1 MG/ML Injectable Solution [Kanglituo]","pressors","dobutamine 1 MG/ML Injectable Solution [Kanglituo]"
35867782,"OMOP5024313","dobutamine 1 MG/ML [Fenghaifen]","pressors","dobutamine 1 MG/ML [Fenghaifen]"
35867783,"OMOP5024314","dobutamine 1 MG/ML [Kanglituo]","pressors","dobutamine 1 MG/ML [Kanglituo]"
35867784,"OMOP5024315","dobutamine 0.5 MG/ML Injectable Solution [Fenghaifen]","pressors","dobutamine 0.5 MG/ML Injectable Solution [Fenghaifen]"
35867785,"OMOP5024316","dobutamine 0.5 MG/ML [Fenghaifen]","pressors","dobutamine 0.5 MG/ML [Fenghaifen]"
35867786,"OMOP5024317","dobutamine 125 MG Injectable Solution","pressors","dobutamine 125 MG Injectable Solution"
35867787,"OMOP5024318","dobutamine 125 MG Injectable Solution [Aowanyuan]","pressors","dobutamine 125 MG Injectable Solution [Aowanyuan]"
35867788,"OMOP5024319","dobutamine 125 MG","pressors","dobutamine 125 MG"
35867789,"OMOP5024320","dobutamine 125 MG [Aowanyuan]","pressors","dobutamine 125 MG [Aowanyuan]"
35867790,"OMOP5024321","dobutamine 20 MG Injectable Solution","pressors","dobutamine 20 MG Injectable Solution"
35867791,"OMOP5024322","dobutamine 20 MG Injectable Solution [Aowanyuan]","pressors","dobutamine 20 MG Injectable Solution [Aowanyuan]"
35867792,"OMOP5024323","dobutamine 20 MG","pressors","dobutamine 20 MG"
35867793,"OMOP5024324","dobutamine 20 MG [Aowanyuan]","pressors","dobutamine 20 MG [Aowanyuan]"
35867794,"OMOP5024325","dobutamine 10 MG/ML Injectable Solution","pressors","dobutamine 10 MG/ML Injectable Solution"
35867795,"OMOP5024326","dobutamine 10 MG/ML","pressors","dobutamine 10 MG/ML"
35867796,"OMOP5024327","dobutamine Injection [Fenghaifen]","pressors","dobutamine Injection [Fenghaifen]"
35867797,"OMOP5024328","dobutamine Injectable Solution [Fenghaifen]","pressors","dobutamine Injectable Solution [Fenghaifen]"
35867798,"OMOP5024329","dobutamine Injectable Solution [Aowanyuan]","pressors","dobutamine Injectable Solution [Aowanyuan]"
35867799,"OMOP5024330","dobutamine Injectable Solution [Anchang]","pressors","dobutamine Injectable Solution [Anchang]"
35867800,"OMOP5024331","dobutamine Injectable Solution [Kanglituo]","pressors","dobutamine Injectable Solution [Kanglituo]"
36054886,"OMOP4980281","20 ML dobutamine 12.5 MG/ML Injectable Solution by Peckforton","pressors","20 ML dobutamine 12.5 MG/ML Injectable Solution by Peckforton"
36054927,"OMOP4980282","20 ML dobutamine 12.5 MG/ML Injectable Solution by A A H","pressors","20 ML dobutamine 12.5 MG/ML Injectable Solution by A A H"
36054968,"OMOP4980276","20 ML dobutamine 12.5 MG/ML Injectable Solution [Dobutrex] Box of 1 by Eli Lilly","pressors","20 ML dobutamine 12.5 MG/ML Injectable Solution [Dobutrex] Box of 1 by Eli Lilly"
36054969,"OMOP4980277","20 ML dobutamine 12.5 MG/ML Injectable Solution [Dobutrex] Box of 1","pressors","20 ML dobutamine 12.5 MG/ML Injectable Solution [Dobutrex] Box of 1"
36054970,"OMOP4980278","20 ML dobutamine 12.5 MG/ML Injectable Solution [Dobutrex] by Eli Lilly","pressors","20 ML dobutamine 12.5 MG/ML Injectable Solution [Dobutrex] by Eli Lilly"
36054971,"OMOP4980279","20 ML dobutamine 12.5 MG/ML Injectable Solution [Dobutrex]","pressors","20 ML dobutamine 12.5 MG/ML Injectable Solution [Dobutrex]"
36054972,"OMOP4980280","20 ML dobutamine 12.5 MG/ML Injectable Solution Box of 10 by A A H","pressors","20 ML dobutamine 12.5 MG/ML Injectable Solution Box of 10 by A A H"
36054973,"OMOP4980283","20 ML dobutamine 12.5 MG/ML Injectable Solution by Hameln","pressors","20 ML dobutamine 12.5 MG/ML Injectable Solution by Hameln"
36054974,"OMOP4980284","20 ML dobutamine 12.5 MG/ML Injectable Solution by Wockhardt","pressors","20 ML dobutamine 12.5 MG/ML Injectable Solution by Wockhardt"
36054975,"OMOP4980285","20 ML dobutamine 12.5 MG/ML Injectable Solution","pressors","20 ML dobutamine 12.5 MG/ML Injectable Solution"
36056446,"OMOP4981878","50 ML dopamine 1.6 MG/ML Injectable Solution Box of 1","pressors","50 ML dopamine 1.6 MG/ML Injectable Solution Box of 1"
36056447,"OMOP4981879","50 ML dopamine 1.6 MG/ML Injectable Solution","pressors","50 ML dopamine 1.6 MG/ML Injectable Solution"
36066372,"OMOP4992797","dobutamine 12.5 MG/ML Injectable Solution [Dobutrex] Box of 1","pressors","dobutamine 12.5 MG/ML Injectable Solution [Dobutrex] Box of 1"
36221162,"1164730","milrinone Injectable Product","pressors","milrinone Injectable Product"
36223310,"1158147","phenylephrine Injectable Product","pressors","phenylephrine Injectable Product"
36223616,"1160506","vasopressin (USP) Injectable Product","pressors","vasopressin (USP) Injectable Product"
36224130,"1159604","dobutamine Injectable Product","pressors","dobutamine Injectable Product"
36224130,"1159604","dobutamine Injectable Product","pressors","dobutamine Injectable Product"
36224502,"1160755","dopamine Injectable Product","pressors","dopamine Injectable Product"
36224502,"1160755","dopamine Injectable Product","pressors","dopamine Injectable Product"
36224715,"1159747","isoproterenol Injectable Product","pressors","isoproterenol Injectable Product"
36225029,"1159845","norepinephrine Injectable Product","pressors","norepinephrine Injectable Product"
36231288,"1181259","Pitressin Injectable Product","pressors","Pitressin Injectable Product"
36243682,"1299692","Isuprel Injectable Product","pressors","Isuprel Injectable Product"
36248686,"1593737","Vasostrict Injectable Product","pressors","Vasostrict Injectable Product"
36261962,"OMOP3112837","Dobutamine Injection [Dobutamine EG]","pressors","Dobutamine Injection [Dobutamine EG]"
36262752,"OMOP3113627","Milrinone 1 MG/ML Injection [COROTROPE]","pressors","Milrinone 1 MG/ML Injection [COROTROPE]"
36263102,"OMOP3113977","Dobutamine 12.5 MG/ML Injection [Dobutrex] Box of 10","pressors","Dobutamine 12.5 MG/ML Injection [Dobutrex] Box of 10"
36263103,"OMOP3113978","Dobutamine 12.5 MG/ML Injection [Dobutamine EG] Box of 10","pressors","Dobutamine 12.5 MG/ML Injection [Dobutamine EG] Box of 10"
36265329,"OMOP3116204","Milrinone 1 MG/ML Injection [COROTROPE] Box of 10","pressors","Milrinone 1 MG/ML Injection [COROTROPE] Box of 10"
36270739,"OMOP3121614","Dobutamine 12.5 MG/ML Injection [Dobutamine EG]","pressors","Dobutamine 12.5 MG/ML Injection [Dobutamine EG]"
36274695,"OMOP3125570","Milrinone Injection [COROTROPE]","pressors","Milrinone Injection [COROTROPE]"
36277020,"OMOP3127895","Dobutamine 12.5 MG/ML [Dobutamine EG]","pressors","Dobutamine 12.5 MG/ML [Dobutamine EG]"
36279453,"OMOP3130328","10 ML Milrinone 1 MG/ML Injection [COROTROPE] Box of 10","pressors","10 ML Milrinone 1 MG/ML Injection [COROTROPE] Box of 10"
36279454,"OMOP3130329","10 ML Milrinone 1 MG/ML Injection [COROTROPE]","pressors","10 ML Milrinone 1 MG/ML Injection [COROTROPE]"
36279492,"OMOP3130367","10 ML Milrinone 1 MG/ML Injection [COROTROPE] Box of 10 by Sanofi","pressors","10 ML Milrinone 1 MG/ML Injection [COROTROPE] Box of 10 by Sanofi"
36280089,"OMOP3130964","20 ML Dobutamine 12.5 MG/ML Injection [Dobutamine EG] Box of 10 by Eurogenerics","pressors","20 ML Dobutamine 12.5 MG/ML Injection [Dobutamine EG] Box of 10 by Eurogenerics"
36280194,"OMOP3131069","20 ML Dobutamine 12.5 MG/ML Injection [Dobutrex] Box of 10","pressors","20 ML Dobutamine 12.5 MG/ML Injection [Dobutrex] Box of 10"
36280276,"OMOP3131151","20 ML Dobutamine 12.5 MG/ML Injection [Dobutamine EG]","pressors","20 ML Dobutamine 12.5 MG/ML Injection [Dobutamine EG]"
36280304,"OMOP3131179","20 ML Dobutamine 12.5 MG/ML Injection [Dobutamine EG] Box of 10","pressors","20 ML Dobutamine 12.5 MG/ML Injection [Dobutamine EG] Box of 10"
36280309,"OMOP3131184","20 ML Dobutamine 12.5 MG/ML Injection [Dobutrex] Box of 10 by Mylan","pressors","20 ML Dobutamine 12.5 MG/ML Injection [Dobutrex] Box of 10 by Mylan"
36403591,"OMOP3095633","Milrinone 0.2 MG/ML Injectable Solution Box of 1","pressors","Milrinone 0.2 MG/ML Injectable Solution Box of 1"
36403592,"OMOP3095634","Milrinone 0.2 MG/ML Injectable Solution","pressors","Milrinone 0.2 MG/ML Injectable Solution"
36403593,"OMOP3095635","Milrinone 0.4 MG/ML Injectable Solution","pressors","Milrinone 0.4 MG/ML Injectable Solution"
36404300,"OMOP3096342","Dopamine 1.6 MG/ML Injectable Solution","pressors","Dopamine 1.6 MG/ML Injectable Solution"
36404301,"OMOP3096343","Dopamine 4 MG/ML Injectable Solution","pressors","Dopamine 4 MG/ML Injectable Solution"
36405064,"OMOP3097106","Dopamine 1.6 MG/ML Injectable Solution Box of 1","pressors","Dopamine 1.6 MG/ML Injectable Solution Box of 1"
36405824,"OMOP3097866","Dopamine 160 MG/ML Injectable Solution","pressors","Dopamine 160 MG/ML Injectable Solution"
36405917,"OMOP3097959","Milrinone 0.6 MG/ML Injectable Solution","pressors","Milrinone 0.6 MG/ML Injectable Solution"
36406629,"OMOP3098671","Dopamine 160 MG/ML Injectable Solution Box of 5","pressors","Dopamine 160 MG/ML Injectable Solution Box of 5"
36407397,"OMOP3099439","Dopamine 160 MG/ML Injectable Solution Box of 10","pressors","Dopamine 160 MG/ML Injectable Solution Box of 10"
36407482,"OMOP3099524","Milrinone 0.6 MG/ML Injectable Solution Box of 1","pressors","Milrinone 0.6 MG/ML Injectable Solution Box of 1"
36408872,"OMOP3100914","Dopamine 4 MG/ML Injectable Solution Box of 1","pressors","Dopamine 4 MG/ML Injectable Solution Box of 1"
36408955,"OMOP3100997","Milrinone 0.4 MG/ML Injectable Solution Box of 1","pressors","Milrinone 0.4 MG/ML Injectable Solution Box of 1"
36410338,"OMOP3102380","5 ML Dopamine 160 MG/ML Injectable Solution Box of 10 by A A H","pressors","5 ML Dopamine 160 MG/ML Injectable Solution Box of 10 by A A H"
36410364,"OMOP3102406","5 ML Dopamine 160 MG/ML Injectable Solution by Hospira","pressors","5 ML Dopamine 160 MG/ML Injectable Solution by Hospira"
36410394,"OMOP3102436","5 ML Dopamine 160 MG/ML Injectable Solution Box of 5 by Hospira","pressors","5 ML Dopamine 160 MG/ML Injectable Solution Box of 5 by Hospira"
36410402,"OMOP3102444","5 ML Dopamine 160 MG/ML Injectable Solution Box of 10","pressors","5 ML Dopamine 160 MG/ML Injectable Solution Box of 10"
36410403,"OMOP3102445","5 ML Dopamine 160 MG/ML Injectable Solution Box of 5","pressors","5 ML Dopamine 160 MG/ML Injectable Solution Box of 5"
36410421,"OMOP3102463","5 ML Dopamine 160 MG/ML Injectable Solution","pressors","5 ML Dopamine 160 MG/ML Injectable Solution"
36410446,"OMOP3102488","5 ML Dopamine 160 MG/ML Injectable Solution Box of 5 by A A H","pressors","5 ML Dopamine 160 MG/ML Injectable Solution Box of 5 by A A H"
36410476,"OMOP3102518","5 ML Dopamine 160 MG/ML Injectable Solution Box of 10 by AMCo","pressors","5 ML Dopamine 160 MG/ML Injectable Solution Box of 10 by AMCo"
36410477,"OMOP3102519","5 ML Dopamine 160 MG/ML Injectable Solution by A A H","pressors","5 ML Dopamine 160 MG/ML Injectable Solution by A A H"
36410503,"OMOP3102545","5 ML Dopamine 160 MG/ML Injectable Solution Box of 10 by Martindale","pressors","5 ML Dopamine 160 MG/ML Injectable Solution Box of 10 by Martindale"
36410535,"OMOP3102577","5 ML Dopamine 160 MG/ML Injectable Solution by Martindale","pressors","5 ML Dopamine 160 MG/ML Injectable Solution by Martindale"
36410536,"OMOP3102578","5 ML Dopamine 160 MG/ML Injectable Solution by AMCo","pressors","5 ML Dopamine 160 MG/ML Injectable Solution by AMCo"
36411224,"OMOP3103266","50 ML Milrinone 0.6 MG/ML Injectable Solution","pressors","50 ML Milrinone 0.6 MG/ML Injectable Solution"
36411225,"OMOP3103267","50 ML Milrinone 0.2 MG/ML Injectable Solution","pressors","50 ML Milrinone 0.2 MG/ML Injectable Solution"
