"concept_id","concept_code","concept_name","ccsr_cat_code","cluster"
37200275,"E13.3491","Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye","END003","Diabetes mellitus with complication"
37200309,"E13.37X2","Other specified diabetes mellitus with diabetic macular edema, resolved following treatment, left eye","END003","Diabetes mellitus with complication"
37200310,"E13.37X3","Other specified diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral","END003","Diabetes mellitus with complication"
37200311,"E13.37X9","Other specified diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye","END003","Diabetes mellitus with complication"
45547635,"E13.39","Other specified diabetes mellitus with other diabetic ophthalmic complication","END003","Diabetes mellitus with complication"
1567982,"E13.4","Other specified diabetes mellitus with neurological complications","","Diabetes mellitus with complication"
45561956,"E13.40","Other specified diabetes mellitus with diabetic neuropathy, unspecified","END003","Diabetes mellitus with complication"
45591034,"E13.41","Other specified diabetes mellitus with diabetic mononeuropathy","END003","Diabetes mellitus with complication"
45566735,"E13.42","Other specified diabetes mellitus with diabetic polyneuropathy","END003","Diabetes mellitus with complication"
45595804,"E13.43","Other specified diabetes mellitus with diabetic autonomic (poly)neuropathy","END003","Diabetes mellitus with complication"
45576448,"E13.44","Other specified diabetes mellitus with diabetic amyotrophy","END003","Diabetes mellitus with complication"
45561957,"E13.49","Other specified diabetes mellitus with other diabetic neurological complication","END003","Diabetes mellitus with complication"
1567983,"E13.5","Other specified diabetes mellitus with circulatory complications","","Diabetes mellitus with complication"
45571661,"E13.51","Other specified diabetes mellitus with diabetic peripheral angiopathy without gangrene","CIR032","Other specified and unspecified circulatory disease"
45571661,"E13.51","Other specified diabetes mellitus with diabetic peripheral angiopathy without gangrene","CIR032","Other specified and unspecified circulatory disease"
45586143,"E13.52","Other specified diabetes mellitus with diabetic peripheral angiopathy with gangrene","CIR028","Gangrene"
45586143,"E13.52","Other specified diabetes mellitus with diabetic peripheral angiopathy with gangrene","CIR028","Gangrene"
45537963,"E13.59","Other specified diabetes mellitus with other circulatory complications","END003","Diabetes mellitus with complication"
1567984,"E13.6","Other specified diabetes mellitus with other specified complications","","Diabetes mellitus with complication"
1567985,"E13.61","Other specified diabetes mellitus with diabetic arthropathy","","Diabetes mellitus with complication"
45586144,"E13.610","Other specified diabetes mellitus with diabetic neuropathic arthropathy","END003","Diabetes mellitus with complication"
45581358,"E13.618","Other specified diabetes mellitus with other diabetic arthropathy","END003","Diabetes mellitus with complication"
1567986,"E13.62","Other specified diabetes mellitus with skin complications","","Diabetes mellitus with complication"
45586145,"E13.620","Other specified diabetes mellitus with diabetic dermatitis","END003","Diabetes mellitus with complication"
45566736,"E13.621","Other specified diabetes mellitus with foot ulcer","END003","Diabetes mellitus with complication"
45557116,"E13.622","Other specified diabetes mellitus with other skin ulcer","END003","Diabetes mellitus with complication"
45571662,"E13.628","Other specified diabetes mellitus with other skin complications","END003","Diabetes mellitus with complication"
1567987,"E13.63","Other specified diabetes mellitus with oral complications","","Diabetes mellitus with complication"
45581359,"E13.630","Other specified diabetes mellitus with periodontal disease","END003","Diabetes mellitus with complication"
45566737,"E13.638","Other specified diabetes mellitus with other oral complications","END003","Diabetes mellitus with complication"
1567988,"E13.64","Other specified diabetes mellitus with hypoglycemia","","Diabetes mellitus with complication"
35206883,"E13.640","Other specified diabetes mellitus with hypoglycemia without coma","","Diabetes mellitus with complication"
45561958,"E13.641","Other specified diabetes mellitus with hypoglycemia with coma","END003","Diabetes mellitus with complication"
45533024,"E13.649","Other specified diabetes mellitus with hypoglycemia without coma","END003","Diabetes mellitus with complication"
45595805,"E13.65","Other specified diabetes mellitus with hyperglycemia","END003","Diabetes mellitus with complication"
45600644,"E13.69","Other specified diabetes mellitus with other specified complication","END003","Diabetes mellitus with complication"
35206884,"E13.8","Other specified diabetes mellitus with unspecified complications","END003","Diabetes mellitus with complication"
35206885,"E13.9","Other specified diabetes mellitus without complications","END002","Diabetes mellitus without complication"
35206964,"E40","Kwashiorkor","END008","Malnutrition"
35206965,"E41","Nutritional marasmus","END008","Malnutrition"
35206966,"E42","Marasmic kwashiorkor","END008","Malnutrition"
35206967,"E43","Unspecified severe protein-calorie malnutrition","END008","Malnutrition"
35206968,"E44.0","Moderate protein-calorie malnutrition","END008","Malnutrition"
35206969,"E44.1","Mild protein-calorie malnutrition","END008","Malnutrition"
35206970,"E45","Retarded development following protein-calorie malnutrition","END008","Malnutrition"
35206971,"E46","Unspecified protein-calorie malnutrition","END008","Malnutrition"
37200279,"E13.3511","Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye","END003","Diabetes mellitus with complication"
37200280,"E13.3512","Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye","END003","Diabetes mellitus with complication"
37200281,"E13.3513","Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral","END003","Diabetes mellitus with complication"
37200282,"E13.3519","Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye","END003","Diabetes mellitus with complication"
37200283,"E13.352","Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula","","Diabetes mellitus with complication"
37200284,"E13.3521","Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye","END003","Diabetes mellitus with complication"
37200285,"E13.3522","Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye","END003","Diabetes mellitus with complication"
37200286,"E13.3523","Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral","END003","Diabetes mellitus with complication"
37200287,"E13.3529","Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye","END003","Diabetes mellitus with complication"
37200288,"E13.353","Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula","","Diabetes mellitus with complication"
37200289,"E13.3531","Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye","END003","Diabetes mellitus with complication"
37200290,"E13.3532","Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye","END003","Diabetes mellitus with complication"
37200291,"E13.3533","Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral","END003","Diabetes mellitus with complication"
37200292,"E13.3539","Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye","END003","Diabetes mellitus with complication"
37200293,"E13.354","Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment","","Diabetes mellitus with complication"
37200294,"E13.3541","Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye","END003","Diabetes mellitus with complication"
37200295,"E13.3542","Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye","END003","Diabetes mellitus with complication"
37200296,"E13.3543","Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral","END003","Diabetes mellitus with complication"
37200297,"E13.3549","Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye","END003","Diabetes mellitus with complication"
37200298,"E13.355","Other specified diabetes mellitus with stable proliferative diabetic retinopathy","","Diabetes mellitus with complication"
37200299,"E13.3551","Other specified diabetes mellitus with stable proliferative diabetic retinopathy, right eye","END003","Diabetes mellitus with complication"
37200300,"E13.3552","Other specified diabetes mellitus with stable proliferative diabetic retinopathy, left eye","END003","Diabetes mellitus with complication"
37200301,"E13.3553","Other specified diabetes mellitus with stable proliferative diabetic retinopathy, bilateral","END003","Diabetes mellitus with complication"
37200302,"E13.3559","Other specified diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye","END003","Diabetes mellitus with complication"
45591033,"E13.359","Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema","END003","Diabetes mellitus with complication"
37200303,"E13.3591","Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye","END003","Diabetes mellitus with complication"
37200304,"E13.3592","Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye","END003","Diabetes mellitus with complication"
37200305,"E13.3593","Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral","END003","Diabetes mellitus with complication"
37200306,"E13.3599","Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye","END003","Diabetes mellitus with complication"
45566734,"E13.36","Other specified diabetes mellitus with diabetic cataract","END003","Diabetes mellitus with complication"
37200307,"E13.37","Other specified diabetes mellitus with diabetic macular edema, resolved following treatment","","Diabetes mellitus with complication"
37200308,"E13.37X1","Other specified diabetes mellitus with diabetic macular edema, resolved following treatment, right eye","END003","Diabetes mellitus with complication"
45591073,"F01.50","Vascular dementia without behavioral disturbance","NVS011","Neurocognitive disorders"
45600684,"F01.51","Vascular dementia with behavioral disturbance","NVS011","Neurocognitive disorders"
45591076,"F02.80","Dementia in other diseases classified elsewhere without behavioral disturbance","NVS011","Neurocognitive disorders"
45595842,"F02.81","Dementia in other diseases classified elsewhere with behavioral disturbance","NVS011","Neurocognitive disorders"
45538000,"F03.90","Unspecified dementia without behavioral disturbance","NVS011","Neurocognitive disorders"
45595843,"F03.91","Unspecified dementia with behavioral disturbance","NVS011","Neurocognitive disorders"
35207115,"F04","Amnestic disorder due to known physiological condition","NVS011","Neurocognitive disorders"
35207116,"F05","Delirium due to known physiological condition","NVS011","Neurocognitive disorders"
35207117,"F06.0","Psychotic disorder with hallucinations due to known physiological condition","MBD001","Schizophrenia spectrum and other psychotic disorders"
35207118,"F06.1","Catatonic disorder due to known physiological condition","MBD001","Schizophrenia spectrum and other psychotic disorders"
35207119,"F06.2","Psychotic disorder with delusions due to known physiological condition","MBD001","Schizophrenia spectrum and other psychotic disorders"
1568092,"F06.3","Mood disorder due to known physiological condition","","Other specified and unspecified mood disorders"
1568111,"F11.2","Opioid dependence","MBD018","Opioid-related disorders"
45557155,"F10.251","Alcohol dependence with alcohol-induced psychotic disorder with hallucinations","MBD001","Schizophrenia spectrum and other psychotic disorders"
45571708,"F10.259","Alcohol dependence with alcohol-induced psychotic disorder, unspecified","MBD001","Schizophrenia spectrum and other psychotic disorders"
45595847,"F10.26","Alcohol dependence with alcohol-induced persisting amnestic disorder","MBD017","Alcohol-related disorders"
45566776,"F10.27","Alcohol dependence with alcohol-induced persisting dementia","MBD017","Alcohol-related disorders"
45566777,"F10.280","Alcohol dependence with alcohol-induced anxiety disorder","MBD005","Anxiety and fear-related disorders"
45591083,"F10.281","Alcohol dependence with alcohol-induced sexual dysfunction","MBD017","Alcohol-related disorders"
45600696,"F10.282","Alcohol dependence with alcohol-induced sleep disorder","MBD017","Alcohol-related disorders"
45571709,"F10.288","Alcohol dependence with other alcohol-induced disorder","MBD017","Alcohol-related disorders"
45591084,"F10.29","Alcohol dependence with unspecified alcohol-induced disorder","MBD017","Alcohol-related disorders"
1568102,"F10.9","Alcohol use, unspecified","MBD017","Alcohol-related disorders"
45595851,"F10.920","Alcohol use, unspecified with intoxication, uncomplicated","MBD017","Alcohol-related disorders"
45566778,"F10.921","Alcohol use, unspecified with intoxication delirium","MBD017","Alcohol-related disorders"
45552432,"F10.929","Alcohol use, unspecified with intoxication, unspecified","MBD017","Alcohol-related disorders"
725277,"F10.930","Alcohol use, unspecified with withdrawal, uncomplicated","MBD017","Alcohol-related disorders"
725278,"F10.931","Alcohol use, unspecified with withdrawal delirium","MBD017","Alcohol-related disorders"
725279,"F10.932","Alcohol use, unspecified with withdrawal with perceptual disturbance","MBD017","Alcohol-related disorders"
725280,"F10.939","Alcohol use, unspecified with withdrawal, unspecified","MBD017","Alcohol-related disorders"
45542791,"F10.94","Alcohol use, unspecified with alcohol-induced mood disorder","MBD017","Alcohol-related disorders"
45566779,"F10.950","Alcohol use, unspecified with alcohol-induced psychotic disorder with delusions","MBD001","Schizophrenia spectrum and other psychotic disorders"
45591087,"F10.951","Alcohol use, unspecified with alcohol-induced psychotic disorder with hallucinations","MBD001","Schizophrenia spectrum and other psychotic disorders"
45586192,"F10.959","Alcohol use, unspecified with alcohol-induced psychotic disorder, unspecified","MBD001","Schizophrenia spectrum and other psychotic disorders"
45566780,"F10.96","Alcohol use, unspecified with alcohol-induced persisting amnestic disorder","MBD017","Alcohol-related disorders"
45547675,"F10.97","Alcohol use, unspecified with alcohol-induced persisting dementia","MBD017","Alcohol-related disorders"
45566781,"F10.980","Alcohol use, unspecified with alcohol-induced anxiety disorder","MBD005","Anxiety and fear-related disorders"
45538009,"F10.981","Alcohol use, unspecified with alcohol-induced sexual dysfunction","MBD017","Alcohol-related disorders"
45562005,"F10.982","Alcohol use, unspecified with alcohol-induced sleep disorder","MBD017","Alcohol-related disorders"
45576497,"F10.988","Alcohol use, unspecified with other alcohol-induced disorder","MBD017","Alcohol-related disorders"
45605456,"F10.99","Alcohol use, unspecified with unspecified alcohol-induced disorder","MBD017","Alcohol-related disorders"
1568106,"F11","Opioid related disorders","MBD018","Opioid-related disorders"
1568107,"F11.1","Opioid abuse","MBD018","Opioid-related disorders"
45605458,"F11.10","Opioid abuse, uncomplicated","MBD018","Opioid-related disorders"
1568078,"E87","Other disorders of fluid, electrolyte and acid-base balance","END011","Fluid and electrolyte disorders"
35207099,"E87.7","Fluid overload","END011","Fluid and electrolyte disorders"
45576480,"E87.70","Fluid overload, unspecified","END011","Fluid and electrolyte disorders"
45542781,"E87.79","Other fluid overload","END011","Fluid and electrolyte disorders"
45557151,"F06.30","Mood disorder due to known physiological condition, unspecified","MBD004","Other specified and unspecified mood disorders"
45561998,"F06.31","Mood disorder due to known physiological condition with depressive features","MBD002","Depressive disorders"
45581399,"F06.32","Mood disorder due to known physiological condition with major depressive-like episode","MBD002","Depressive disorders"
45600688,"F06.33","Mood disorder due to known physiological condition with manic features","MBD003","Bipolar and related disorders"
45576490,"F06.34","Mood disorder due to known physiological condition with mixed features","MBD002","Depressive disorders"
35207121,"F06.8","Other specified mental disorders due to known physiological condition","MBD013","Miscellaneous mental and behavioral disorders/conditions"
35207122,"F06.9","Unspecified mental disorder due to known physiological condition","MBD013","Miscellaneous mental and behavioral disorders/conditions"
1568093,"F07","Personality and behavioral disorders due to known physiological condition","MBD013","Miscellaneous mental and behavioral disorders/conditions"
1568094,"F07.8","Other personality and behavioral disorders due to known physiological condition","MBD013","Miscellaneous mental and behavioral disorders/conditions"
45542788,"F07.89","Other personality and behavioral disorders due to known physiological condition","NVS011","Neurocognitive disorders"
35207124,"F07.9","Unspecified personality and behavioral disorder due to known physiological condition","MBD013","Miscellaneous mental and behavioral disorders/conditions"
35207125,"F09","Unspecified mental disorder due to known physiological condition","MBD013","Miscellaneous mental and behavioral disorders/conditions"
1568095,"F10","Alcohol related disorders","MBD017","Alcohol-related disorders"
1568096,"F10.1","Alcohol abuse","MBD017","Alcohol-related disorders"
45595845,"F10.10","Alcohol abuse, uncomplicated","MBD017","Alcohol-related disorders"
45538005,"F10.120","Alcohol abuse with intoxication, uncomplicated","MBD017","Alcohol-related disorders"
45576493,"F10.121","Alcohol abuse with intoxication delirium","MBD017","Alcohol-related disorders"
45557154,"F10.129","Alcohol abuse with intoxication, unspecified","MBD017","Alcohol-related disorders"
725272,"F10.130","Alcohol abuse with withdrawal, uncomplicated","MBD017","Alcohol-related disorders"
725273,"F10.131","Alcohol abuse with withdrawal delirium","MBD017","Alcohol-related disorders"
725274,"F10.132","Alcohol abuse with withdrawal with perceptual disturbance","MBD017","Alcohol-related disorders"
725275,"F10.139","Alcohol abuse with withdrawal, unspecified","MBD017","Alcohol-related disorders"
45581404,"F10.14","Alcohol abuse with alcohol-induced mood disorder","MBD017","Alcohol-related disorders"
45600692,"F10.150","Alcohol abuse with alcohol-induced psychotic disorder with delusions","MBD001","Schizophrenia spectrum and other psychotic disorders"
45595846,"F10.151","Alcohol abuse with alcohol-induced psychotic disorder with hallucinations","MBD001","Schizophrenia spectrum and other psychotic disorders"
45571707,"F10.159","Alcohol abuse with alcohol-induced psychotic disorder, unspecified","MBD001","Schizophrenia spectrum and other psychotic disorders"
45600693,"F10.180","Alcohol abuse with alcohol-induced anxiety disorder","MBD005","Anxiety and fear-related disorders"
45600694,"F10.181","Alcohol abuse with alcohol-induced sexual dysfunction","MBD017","Alcohol-related disorders"
45538006,"F10.182","Alcohol abuse with alcohol-induced sleep disorder","MBD017","Alcohol-related disorders"
45576494,"F10.188","Alcohol abuse with other alcohol-induced disorder","MBD017","Alcohol-related disorders"
45576495,"F10.19","Alcohol abuse with unspecified alcohol-induced disorder","MBD017","Alcohol-related disorders"
1568100,"F10.2","Alcohol dependence","MBD017","Alcohol-related disorders"
45586187,"F10.20","Alcohol dependence, uncomplicated","MBD017","Alcohol-related disorders"
45586188,"F10.220","Alcohol dependence with intoxication, uncomplicated","MBD017","Alcohol-related disorders"
45586189,"F10.221","Alcohol dependence with intoxication delirium","MBD017","Alcohol-related disorders"
45538007,"F10.229","Alcohol dependence with intoxication, unspecified","MBD017","Alcohol-related disorders"
45586190,"F10.230","Alcohol dependence with withdrawal, uncomplicated","MBD017","Alcohol-related disorders"
45552431,"F10.231","Alcohol dependence with withdrawal delirium","MBD017","Alcohol-related disorders"
45566775,"F10.232","Alcohol dependence with withdrawal with perceptual disturbance","MBD017","Alcohol-related disorders"
45533065,"F10.239","Alcohol dependence with withdrawal, unspecified","MBD017","Alcohol-related disorders"
45562002,"F10.24","Alcohol dependence with alcohol-induced mood disorder","MBD017","Alcohol-related disorders"
45562003,"F10.250","Alcohol dependence with alcohol-induced psychotic disorder with delusions","MBD001","Schizophrenia spectrum and other psychotic disorders"
45586193,"F11.20","Opioid dependence, uncomplicated","MBD018","Opioid-related disorders"
45542795,"F11.220","Opioid dependence with intoxication, uncomplicated","MBD018","Opioid-related disorders"
45542796,"F11.221","Opioid dependence with intoxication delirium","MBD018","Opioid-related disorders"
45581411,"F11.222","Opioid dependence with intoxication with perceptual disturbance","MBD018","Opioid-related disorders"
45557159,"F11.229","Opioid dependence with intoxication, unspecified","MBD018","Opioid-related disorders"
45557160,"F11.23","Opioid dependence with withdrawal","MBD018","Opioid-related disorders"
45605460,"F11.24","Opioid dependence with opioid-induced mood disorder","MBD018","Opioid-related disorders"
45595854,"F11.250","Opioid dependence with opioid-induced psychotic disorder with delusions","MBD001","Schizophrenia spectrum and other psychotic disorders"
45591090,"F11.251","Opioid dependence with opioid-induced psychotic disorder with hallucinations","MBD001","Schizophrenia spectrum and other psychotic disorders"
45566784,"F11.259","Opioid dependence with opioid-induced psychotic disorder, unspecified","MBD001","Schizophrenia spectrum and other psychotic disorders"
45591091,"F11.281","Opioid dependence with opioid-induced sexual dysfunction","MBD018","Opioid-related disorders"
45533067,"F11.282","Opioid dependence with opioid-induced sleep disorder","MBD018","Opioid-related disorders"
45566785,"F11.288","Opioid dependence with other opioid-induced disorder","MBD018","Opioid-related disorders"
45605461,"F11.29","Opioid dependence with unspecified opioid-induced disorder","MBD018","Opioid-related disorders"
1568113,"F11.9","Opioid use, unspecified","MBD018","Opioid-related disorders"
45586196,"F11.90","Opioid use, unspecified, uncomplicated","MBD018","Opioid-related disorders"
45542797,"F11.920","Opioid use, unspecified with intoxication, uncomplicated","MBD018","Opioid-related disorders"
45566786,"F11.921","Opioid use, unspecified with intoxication delirium","MBD018","Opioid-related disorders"
45566787,"F11.922","Opioid use, unspecified with intoxication with perceptual disturbance","MBD018","Opioid-related disorders"
45576501,"F11.929","Opioid use, unspecified with intoxication, unspecified","MBD018","Opioid-related disorders"
45586197,"F11.93","Opioid use, unspecified with withdrawal","MBD018","Opioid-related disorders"
45586198,"F11.94","Opioid use, unspecified with opioid-induced mood disorder","MBD018","Opioid-related disorders"
45591095,"F11.950","Opioid use, unspecified with opioid-induced psychotic disorder with delusions","MBD001","Schizophrenia spectrum and other psychotic disorders"
45605464,"F11.951","Opioid use, unspecified with opioid-induced psychotic disorder with hallucinations","MBD001","Schizophrenia spectrum and other psychotic disorders"
45595856,"F11.959","Opioid use, unspecified with opioid-induced psychotic disorder, unspecified","MBD001","Schizophrenia spectrum and other psychotic disorders"
45557162,"F11.981","Opioid use, unspecified with opioid-induced sexual dysfunction","MBD018","Opioid-related disorders"
45542798,"F11.982","Opioid use, unspecified with opioid-induced sleep disorder","MBD018","Opioid-related disorders"
45595857,"F11.988","Opioid use, unspecified with other opioid-induced disorder","MBD018","Opioid-related disorders"
45533068,"F11.99","Opioid use, unspecified with unspecified opioid-induced disorder","MBD018","Opioid-related disorders"
1568117,"F12","Cannabis related disorders","MBD019","Cannabis-related disorders"
1568118,"F12.1","Cannabis abuse","MBD019","Cannabis-related disorders"
45538011,"F12.10","Cannabis abuse, uncomplicated","MBD019","Cannabis-related disorders"
45547676,"F12.120","Cannabis abuse with intoxication, uncomplicated","MBD019","Cannabis-related disorders"
45542799,"F12.121","Cannabis abuse with intoxication delirium","MBD019","Cannabis-related disorders"
45586199,"F12.122","Cannabis abuse with intoxication with perceptual disturbance","MBD019","Cannabis-related disorders"
45552434,"F12.129","Cannabis abuse with intoxication, unspecified","MBD019","Cannabis-related disorders"
725282,"F12.13","Cannabis abuse with withdrawal","MBD019","Cannabis-related disorders"
45591096,"F12.150","Cannabis abuse with psychotic disorder with delusions","MBD001","Schizophrenia spectrum and other psychotic disorders"
45581413,"F12.151","Cannabis abuse with psychotic disorder with hallucinations","MBD001","Schizophrenia spectrum and other psychotic disorders"
45581414,"F12.159","Cannabis abuse with psychotic disorder, unspecified","MBD001","Schizophrenia spectrum and other psychotic disorders"
45533069,"F12.180","Cannabis abuse with cannabis-induced anxiety disorder","MBD005","Anxiety and fear-related disorders"
45571720,"F12.188","Cannabis abuse with other cannabis-induced disorder","MBD019","Cannabis-related disorders"
45552435,"F12.19","Cannabis abuse with unspecified cannabis-induced disorder","MBD019","Cannabis-related disorders"
1568122,"F12.2","Cannabis dependence","MBD019","Cannabis-related disorders"
45586200,"F12.20","Cannabis dependence, uncomplicated","MBD019","Cannabis-related disorders"
45538021,"F13.180","Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced anxiety disorder","MBD005","Anxiety and fear-related disorders"
45591102,"F13.181","Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced sexual dysfunction","MBD020","Sedative-related disorders"
45552437,"F13.182","Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced sleep disorder","MBD020","Sedative-related disorders"
45581418,"F13.188","Sedative, hypnotic or anxiolytic abuse with other sedative, hypnotic or anxiolytic-induced disorder","MBD020","Sedative-related disorders"
45571724,"F13.19","Sedative, hypnotic or anxiolytic abuse with unspecified sedative, hypnotic or anxiolytic-induced disorder","MBD020","Sedative-related disorders"
1568133,"F13.2","Sedative, hypnotic or anxiolytic-related dependence","MBD020","Sedative-related disorders"
45576505,"F13.20","Sedative, hypnotic or anxiolytic dependence, uncomplicated","MBD020","Sedative-related disorders"
45552438,"F13.220","Sedative, hypnotic or anxiolytic dependence with intoxication, uncomplicated","MBD020","Sedative-related disorders"
45542802,"F13.221","Sedative, hypnotic or anxiolytic dependence with intoxication delirium","MBD020","Sedative-related disorders"
45552439,"F13.229","Sedative, hypnotic or anxiolytic dependence with intoxication, unspecified","MBD020","Sedative-related disorders"
45538023,"F13.230","Sedative, hypnotic or anxiolytic dependence with withdrawal, uncomplicated","MBD020","Sedative-related disorders"
45538024,"F13.231","Sedative, hypnotic or anxiolytic dependence with withdrawal delirium","MBD020","Sedative-related disorders"
45595865,"F13.232","Sedative, hypnotic or anxiolytic dependence with withdrawal with perceptual disturbance","MBD020","Sedative-related disorders"
45566792,"F13.239","Sedative, hypnotic or anxiolytic dependence with withdrawal, unspecified","MBD020","Sedative-related disorders"
45595866,"F13.24","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced mood disorder","MBD020","Sedative-related disorders"
45581419,"F13.250","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions","MBD001","Schizophrenia spectrum and other psychotic disorders"
45542803,"F13.251","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder with hallucinations","MBD001","Schizophrenia spectrum and other psychotic disorders"
45576506,"F13.259","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified","MBD001","Schizophrenia spectrum and other psychotic disorders"
45557168,"F13.26","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced persisting amnestic disorder","MBD020","Sedative-related disorders"
45552440,"F13.27","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced persisting dementia","MBD020","Sedative-related disorders"
45562013,"F13.280","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced anxiety disorder","MBD005","Anxiety and fear-related disorders"
45552441,"F13.281","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced sexual dysfunction","MBD020","Sedative-related disorders"
45552442,"F13.282","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced sleep disorder","MBD020","Sedative-related disorders"
45566793,"F13.288","Sedative, hypnotic or anxiolytic dependence with other sedative, hypnotic or anxiolytic-induced disorder","MBD020","Sedative-related disorders"
45576507,"F13.29","Sedative, hypnotic or anxiolytic dependence with unspecified sedative, hypnotic or anxiolytic-induced disorder","MBD020","Sedative-related disorders"
1568136,"F13.9","Sedative, hypnotic or anxiolytic-related use, unspecified","MBD020","Sedative-related disorders"
45542804,"F13.90","Sedative, hypnotic, or anxiolytic use, unspecified, uncomplicated","MBD020","Sedative-related disorders"
45542805,"F13.920","Sedative, hypnotic or anxiolytic use, unspecified with intoxication, uncomplicated","MBD020","Sedative-related disorders"
45595867,"F13.921","Sedative, hypnotic or anxiolytic use, unspecified with intoxication delirium","MBD020","Sedative-related disorders"
45566796,"F13.929","Sedative, hypnotic or anxiolytic use, unspecified with intoxication, unspecified","MBD020","Sedative-related disorders"
45562014,"F13.930","Sedative, hypnotic or anxiolytic use, unspecified with withdrawal, uncomplicated","MBD020","Sedative-related disorders"
45581421,"F13.931","Sedative, hypnotic or anxiolytic use, unspecified with withdrawal delirium","MBD020","Sedative-related disorders"
45538027,"F13.932","Sedative, hypnotic or anxiolytic use, unspecified with withdrawal with perceptual disturbances","MBD020","Sedative-related disorders"
45566797,"F13.939","Sedative, hypnotic or anxiolytic use, unspecified with withdrawal, unspecified","MBD020","Sedative-related disorders"
45542792,"F11.120","Opioid abuse with intoxication, uncomplicated","MBD018","Opioid-related disorders"
45571712,"F11.121","Opioid abuse with intoxication delirium","MBD018","Opioid-related disorders"
45600697,"F11.122","Opioid abuse with intoxication with perceptual disturbance","MBD018","Opioid-related disorders"
45581409,"F11.129","Opioid abuse with intoxication, unspecified","MBD018","Opioid-related disorders"
725281,"F11.13","Opioid abuse with withdrawal","MBD018","Opioid-related disorders"
45566782,"F11.14","Opioid abuse with opioid-induced mood disorder","MBD018","Opioid-related disorders"
45576499,"F11.150","Opioid abuse with opioid-induced psychotic disorder with delusions","MBD001","Schizophrenia spectrum and other psychotic disorders"
45571713,"F11.151","Opioid abuse with opioid-induced psychotic disorder with hallucinations","MBD001","Schizophrenia spectrum and other psychotic disorders"
45562007,"F11.159","Opioid abuse with opioid-induced psychotic disorder, unspecified","MBD001","Schizophrenia spectrum and other psychotic disorders"
45542793,"F11.181","Opioid abuse with opioid-induced sexual dysfunction","MBD018","Opioid-related disorders"
45571714,"F11.182","Opioid abuse with opioid-induced sleep disorder","MBD018","Opioid-related disorders"
